CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,LA UNION,03/23/1997 12:00:00 AM,FEMENINO,ORIENTE,LA UNION,ESTRATO 2,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,TOLEDO,11/22/1971 12:00:00 AM,FEMENINO,NORTE,TOLEDO,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,11/27/1995 12:00:00 AM,FEMENINO,ORIENTE,SONSON,ESTRATO 2,NINGUNO,SI,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SAN LUIS,09/21/1995 12:00:00 AM,MASCULINO,ORIENTE,SAN LUIS,ESTRATO 1,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CONCEPCION,04/26/1993 12:00:00 AM,FEMENINO,ORIENTE,CONCEPCION,ESTRATO 2,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CONCEPCION,02/21/1997 12:00:00 AM,FEMENINO,ORIENTE,CONCEPCION,ESTRATO 2,NINGUNO,NO,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,03/02/1996 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,NO
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,PUERTO BERRIO,05/16/1994 12:00:00 AM,MASCULINO,MAGDALENA MEDIO,PUERTO BERRIO,ESTRATO 1,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,NO
2015,1,MATRICULA Y SOSTENIMIENTO,BOLIVAR,CARTAGENA,05/04/1996 12:00:00 AM,FEMENINO,ORIENTE,SAN FRANCISCO,ESTRATO 2,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,08/11/1997 12:00:00 AM,MASCULINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2014,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,EL PEÑOL,05/17/1992 12:00:00 AM,FEMENINO,ORIENTE,EL PEÑOL,ESTRATO 1,NINGUNO,NO,UNIVERSIDAD CATOLICA DE ORIENTE,COMUNICACION SOCIAL,RIONEGRO,UNIVERSITARIA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,SAN JERONIMO,01/01/1992 12:00:00 AM,MASCULINO,OCCIDENTE,SAN JERONIMO,ESTRATO 2,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CARAMANTA,02/16/1997 12:00:00 AM,FEMENINO,SUROESTE,CARAMANTA,ESTRATO 2,NINGUNO,NO,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,SI
2015,1,MATRICULA Y SOSTENIMIENTO,ANTIOQUIA,CONCEPCION,05/13/1985 12:00:00 AM,MASCULINO,ORIENTE,CONCEPCION,ESTRATO 2,NINGUNO,SI,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,NO
